,,PERMIT STATUS,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PERMIT SUB-TYPE,PERMIT GROUP,PERMIT NUMBER,PERMIT TYPE,PLAN CHECK SUBMITTAL DATE,SQUARE FOOTAGE,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT
Applications Submitted,248,Reviewed by Supervisor,7.0,,1.0,,13143 W GOLETA ST,1 or 2 Family Dwelling,Building,12016-20000-10825,Bldg-Alter/Repair,2012-06-05 00:00:00,580.0,"Convert An Existing 20' X 29' Garage With An Existing 7' X 19' Patio Cover To 2nd Dwelling Unit Per A.B.1866; Sprinklered Through Out..  ""Comply With Department Order Effective Date 04/27/2012. Permit Will Expire 30 Days From Issuance Date"".",91331.0,1.0
Permits with CofO,875,CofO Issued,4.0,2017-05-04 16:10:00,1.0,2015-12-16 15:58:00,13146 W KUEN PL,1 or 2 Family Dwelling,Building,15010-20000-02383,Bldg-New,,1149.0,"New Irr. 30'-2""X62'-6"" 2nd Dwelling Unit W/ Attached One-Car Garage Per Za Memo 120. Type V Construction. Fully Sprinklered Per Nfpa13d.",91401.0,1.0
Applications Submitted,276,Verifications in Progress,7.0,,1.0,,13167 W GOLETA ST,1 or 2 Family Dwelling,Building,13016-20000-02922,Bldg-Alter/Repair,2013-02-13 00:00:00,0.0,"Convert 20' X 22' Rec Room To Second Dwelling Unit Per Order To Comply, Za Memo-120,Ab1866",91331.0,1.0
Applications Submitted,553,Reviewed by Supervisor,2.0,,1.0,,13170 W WELBY WAY,1 or 2 Family Dwelling,Building,16016-20000-23406,Bldg-Alter/Repair,2016-09-30 00:00:00,,"Convert Portion Of(E) Sfd To New 2nd Dwlg Unit Per Ord. 184510

*Permit 16014-20000-04574 Is Not Final, Therefore, 30% Max Will Be Based On Original 2128sf Of (E) Sfd = 638.4sf Max For 2nd Dwelling.
*Approved Plans Required For Review.",91606.0,1.0
Permits without CofO ,14,Issued,7.0,,1.0,2004-12-29 00:00:00,13172 N HERRICK AVE Unit A,1 or 2 Family Dwelling,Building,04014-20000-11659,Bldg-Addition,,483.0,Convert (E) Detached Garage To Sfd Per Ab 1866 And Add Carport Which Will Connect (E) Sfd To (N) Sfd Thus Creating A Duplex W/ Attached Carport.  All Work To Be Per Type V Sheet.  Comply With Code Enforcement Order Dated 11/18/04 - Permit Will Expire 30 Days From Issuance Date.,91342.0,1.0
Permits without CofO ,6,Permit Expired,7.0,,1.0,2004-03-25 00:00:00,13172 W TERRA BELLA ST,1 or 2 Family Dwelling,Building,04014-20000-02212,Bldg-Addition,,719.0,"Convert (E) Garage Into 2nd Dwelling Per Ab1866 & Add Carport. Includes Elect Plumbing, And Hvac Permits. Eqso Required.",91331.0,1.0
Permits with CofO,346,CofO Issued,7.0,2011-03-07 11:37:00,1.0,2010-04-26 15:06:00,13172-13174 N FENTON AVE,1 or 2 Family Dwelling,Building,10016-20000-00422,Bldg-Alter/Repair,,591.6,Install New Kitchen In Ex Rec Rm W/ Bath To Create 2nd Dwelling Unit Per Ab1866 (Duplex) - One Open Room W/ Kitchen Area And One Full Bath Rm. And One New Open Parking Stall To Be Provided.,91342.0,1.0
Applications Submitted,207,PC Info Complete,6.0,,1.0,,13175 W WENTWORTH ST,1 or 2 Family Dwelling,Building,11016-20000-15122,Bldg-Alter/Repair,2011-08-05 00:00:00,494.0,Convert (E) Detached Garage (19'X26') To 2nd Dwelling Unit Per Za120 And Wfpp Sheets. ,91040.0,1.0
Permits without CofO ,249,Issued,7.0,,1.0,2015-12-15 15:48:00,13177 N PHILLIPPI AVE,1 or 2 Family Dwelling,Building,14010-20000-00488,Bldg-New,,1183.0,"New 1-Story Second Dwelling Unit Per Za Memo #120 @ 26'-0"" X 55'-9"" With Attached Front Porch, Per Wfpp City Details; Fire Sprinklers Req'D Through-Out. (See Comments) ",91342.0,1.0
Permits without CofO ,190,Issued,5.0,,1.0,2015-04-13 14:49:00,1319 N DELRESTO DR,1 or 2 Family Dwelling,Building,14010-30000-02747,Bldg-New,,832.0,Second Dwelling Unit Persuant To Za Memorandum No. 120,90210.0,1.0
Permits with CofO,498,CofO Issued,7.0,2013-08-29 14:46:00,0.0,2013-03-26 12:37:00,13192 W VAUGHN ST,1 or 2 Family Dwelling,Building,13014-20000-01089,Bldg-Addition,,162.0,"Add New Attached 1-Car Carport And Patio Cover To (E) Single Family Dwelling.
**Provide Open Parking Space For Exsiting 2nd Dwelling Unit",91331.0,1.0
Permits with CofO,338,CofO Issued,7.0,2010-11-18 13:05:00,1.0,2006-05-05 00:00:00,13194 W VAUGHN ST,1 or 2 Family Dwelling,Building,06010-20000-00243,Bldg-New,,585.0,"New 34'6""X 22'6"" Single Family Dwelling Per A.B. 1866 With Attached 3 Car Garage Below.  All Work Shall Comply With The Engineers Design And Plan.  This Is A 2nd Dwlg Unit Per Ab 1866.  640 Sq Ft. Max.",91331.0,1.0
Permits with CofO,442,CofO Issued,7.0,2012-11-08 08:28:00,1.0,2004-11-17 00:00:00,13197-13199 N PHILLIPPI AVE,1 or 2 Family Dwelling,Building,04010-20000-03483,Bldg-New,,625.0,New Second Dwelling (625 Sf) 25'X25' All Per Type V,91342.0,1.0
Permits with CofO,940,Permit Finaled,8.0,,1.0,2004-04-09 00:00:00,132 1/2 W 89TH ST,1 or 2 Family Dwelling,Building,04016-70000-04470,Bldg-Addition,,465.0,"Change Of Occ Of A Detached 18 X 20 Garage To A 1-Bdrm, 1 Bath  22 X24 Sfd.  2nd Unit Approved Per Za 2003-7705(Zv)(Zaa) Dated 2/12/04.   Work Was Done Without A Permit Or Inspection. Work Is To Comply With Order  Dated 4/4/03 And Shall Be Completed Within 30 Days From The Date Of Issuance. + 465sf",90003.0,1.0
Permits with CofO,414,CofO Issued,6.0,2012-04-23 08:11:00,1.0,2010-10-07 13:25:00,13200-13202 W KAGEL CANYON ST,1 or 2 Family Dwelling,Building,10016-10000-15096,Bldg-Alter/Repair,,2115.0,"Convert 565 Sf Of 1st Floor Portion Of (E) Sfd To 2nd Unit Creating A Duplex Per Za Memorandum 120.  Includes (N) Floor Beams, Exterior And Interior Remodel Work.  See Permit 10014-10000-03070 For Required Parking.",91331.0,1.0
Permits with CofO,945,Permit Finaled,7.0,,1.0,2004-05-28 00:00:00,13202 DAVENTRY ST,1 or 2 Family Dwelling,Building,04010-20000-02453,Bldg-New,,640.0,New 2nd Dwelling Unit With 4' X 4' Patio Cover(640 Sq Ft Per Ab1866).,91331.0,1.0
Permits with CofO,857,CofO Issued,7.0,2017-02-28 14:24:00,1.0,2013-12-03 13:30:00,13208 W FILMORE ST,1 or 2 Family Dwelling,Building,13014-20000-04111,Bldg-Addition,,1162.0,"Add Irregular (802 Sf) To (E) Detached 20' X 20' Garage And Convert To (N) 1-Story Second Dwelling Unit Per Za Memo #120.  All Work Is Per Wfpp, Fire Sprinkler Req'D Through-Out [See Commments]",91331.0,1.0
Permits with CofO,47,CofO Issued,6.0,2006-05-12 15:32:00,1.0,2005-11-28 00:00:00,13217 W KELOWNA ST,1 or 2 Family Dwelling,Building,05014-20000-11064,Bldg-Addition,,584.0,"Add Interior Walls And Footings & Remove 2 Exterior Walls Of An (E) Detached Garage And Convert To Sfd Per Ab 1866.  Add 2-Car Carport And 12'-6"" X 17' Addition To Converted Sfd.  Sfd Consists Of 2 Bedrooms, Bathroom, Kitchen, And Living Room.  Comply With Dept Order (Case # 153276) Dated 10-03-05.  All Work To Be Per Type V Sheet.",91331.0,1.0
Permits with CofO,502,CofO Issued,6.0,2013-09-12 13:33:00,1.0,2013-03-05 08:35:00,13224-13226 W BRYSON ST,1 or 2 Family Dwelling,Building,12014-20000-03262,Bldg-Addition,,495.0,"Convert 390 Sf,  Attached Garage To A 2nd Dwelling, & Add 2-Car Carport. Work Per Za 120. Fire Sprinklered.",91331.0,1.0
Applications Submitted,204,Verifications in Progress,7.0,,1.0,,13230 N HERRICK AVE,1 or 2 Family Dwelling,Building,11014-20000-02652,Bldg-Addition,2011-07-22 00:00:00,1193.0,"Comply With Order To Comply Dated 6/30/2009.  Add Irr 26' X 44.17' Bedms, Bathrm, And Kitchen To Connect Exist Rec Rm And Storage Bldg To Create Adtached 2nd Dwlg Unit Per Za Memo 120.   1193 Sq Ft Total Area.  Exist Rec Rm Is Converted To Bathrm And Storage Toa Living Rm.  Permit Valid 30 Days From Permit Issuance Date.",91342.0,1.0
Applications Submitted,292,Reviewed by Supervisor,7.0,,0.0,,13230 W PINNEY ST,1 or 2 Family Dwelling,Building,13010-20000-01171,Bldg-New,2013-04-22 00:00:00,,Construct  Second Dwelling Unit Pursuant  To  Ab 1866    And   Za  Memo  120    ( 39.5'  X   28'),91331.0,1.0
Permits without CofO ,107,Issued,7.0,,1.0,2012-12-20 10:13:00,13232 N HERRICK AVE,1 or 2 Family Dwelling,Building,12014-20000-01957,Bldg-Addition,,1200.0,Comply With Department Order Effective Date 06/09/2009. Permit Will Expire 30 Days From Issuance Date - Construct 615 Sf Addition To Be Attached To  (E) Recreation Room And (E) Storage And Convert To Second Dwelling Unit Per Za-120.  All Work Per Wfpp.,91340.0,1.0
Permits without CofO ,385,Issued,10.0,,1.0,2017-03-16 10:57:00,1325 S STANLEY AVE,1 or 2 Family Dwelling,Building,17014-20000-00365,Bldg-Addition,,2226.0,"Accessory Dwelling Unit, Adu, Per Ab-2299 And Sb 1069.
Expand (E) Sfd To Create Attached Adu With One Bedroom And One Bathroom, 646 Sf. Attached 2' Wide Over Hange/ Awning. Relocate One Window At (E) Bedroom.",90019.0,1.0
Permits without CofO ,150,Issued,2.0,,0.0,2014-05-27 14:27:00,13250 W CANTARA ST,1 or 2 Family Dwelling,Building,14016-20000-08149,Bldg-Alter/Repair,,917.0,"Remodel Interior Of (E) Sfd And Convert To (N) 2nd Unit With One (N) Open Parking Per Za-120. See Comment.


",91605.0,1.0
Permits with CofO,882,CofO Issued,7.0,2017-06-01 05:51:00,1.0,2016-01-13 14:02:00,13256 W PINNEY ST,1 or 2 Family Dwelling,Building,15016-20000-13780,Bldg-Alter/Repair,,0.0,"Convert  38' X 33' Irregular Shaped Recreation Room And Storage Building To Second Dwelling Unit; Remove Attached Carport

Comply With Department Order Effective Date
05/13/2015. Permit Will Expire 30 Days From Issuance Date",91331.0,1.0
Permits with CofO,614,CofO Issued,10.0,2014-12-08 14:58:00,1.0,2009-04-03 14:08:00,1327-1327 1/2 S 3RD AVE,1 or 2 Family Dwelling,Building,09016-70000-01408,Bldg-Alter/Repair,,1792.0,"Interior Remodel To Rear Portion Of Existing One Story Single Family Dwelling At Front Of Property To Create 2nd Dwelling Unit, Resulting In Duplex (Related Elec, Hvac, And Plumbing)",90019.0,1.0
Permits without CofO ,94,Issued,7.0,,1.0,2012-04-18 12:14:00,13272 W BEAVER ST,1 or 2 Family Dwelling,Building,11014-20000-03136,Bldg-Addition,,556.0,Convert (E) Recreation Room Into A One Story Single Family Dwelling (20'X18')&  Bedroom Addition (14'X12') Per Za 120. Comply With Department Order Effective Date 08/09/2011. Permit Will Expire 30 Days From Issuance Date. All Work Per Wfpp Sheets. ,91342.0,1.0
Permits with CofO,921,Permit Finaled,6.0,,1.0,2003-12-12 00:00:00,13277 W BROMWICH ST,1 or 2 Family Dwelling,Building,03014-10000-09890,Bldg-Addition,,363.0,"Add 380 Sf Unit [Second Unit On The Lot Per Memo Per Ab1866] To (E) Detached Garage And Patio.  Roof Rafters, Ceiling, And Exterior Wall Of The (E) Garage Must Remain And Maintained (Non-Conforming Side Yard Setback).  Comply To The Order Effective Date 08/05/2003.  Permit Will Expire 30 Days From Issuance Date.",91331.0,1.0
Permits with CofO,51,CofO Issued,7.0,2006-05-23 12:38:00,1.0,2005-01-14 00:00:00,13282 W DEL SUR ST,1 or 2 Family Dwelling,Building,05010-20000-00132,Bldg-New,,587.0,"New Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living Room, And Kitchen.  All Work To Be Per Type V Sheet.",91340.0,1.0
Permits with CofO,285,CofO Issued,7.0,2009-08-11 16:09:00,1.0,2008-08-21 14:45:00,13283 W DEL SUR ST,1 or 2 Family Dwelling,Building,08010-20000-01129,Bldg-Alter/Repair,,415.0,Convert (E) Carport To Proposed Second Dwelling Unit Per Ab1866 And Add New Attached 2-Car Carport;  All Work Per Type V Sheet;  Comply With Dept. Order Effective Date 5/11/2008 - Permit Will Expire 30 Days From Issuance Date.,91340.0,1.0
Applications Submitted,689,Verifications in Progress,9.0,,1.0,,133 E 64TH ST,1 or 2 Family Dwelling,Building,17016-10000-16251,Bldg-Alter/Repair,2017-06-15 00:00:00,748.0,Convert (E) Detached Garage/ Rec Room To Adu Per Ab 1069 And Sb 2299,90003.0,1.0
Permits without CofO ,71,Permit Expired,15.0,,1.0,2009-07-29 16:33:00,1330 W 221ST ST,1 or 2 Family Dwelling,Building,09010-10000-01121,Bldg-New,,637.0,"New 1-Story 14'-0"" X 49'-6"" Detached Second Dwelling With Attached 8'-8"" X 18'-0"" 1-Car Carport Per State Assembly Bill 1866 Ch 1062. Construction Per Type V Sheet.  Comply With Department Order Effective Date 01/08/2009. Permit Will Expire 30 Days From Issuance Date.",90501.0,1.0
Permits with CofO,915,Permit Finaled,9.0,,1.0,2003-09-08 00:00:00,1330 W 60TH PL,1 or 2 Family Dwelling,Building,03010-10000-02259,Bldg-New,,1930.0,"43'8"" X 34'  Sfd, 2 Story W/ Att 2 Car- Garage.  (Second Dwelling On The Lot).
(Floor Area:  R3: 1930sf;  U1: 425sf).  Big House Ordinance Applies.",90044.0,1.0
Applications Submitted,77,Corrections Issued,6.0,,,,13300 W BROMWICH ST,1 or 2 Family Dwelling,Building,06010-20000-03030,Bldg-New,2006-07-07 00:00:00,640.0,Second Dwelling Unit,91331.0,1.0
Permits without CofO ,341,Issued,7.0,,0.0,2016-11-30 10:10:00,13305 W SAYRE ST,1 or 2 Family Dwelling,Building,16014-20000-04511,Bldg-Addition,,562.5,"Convert (E) Det. Rec. Room To (N) 2nd Dwlg Unit Per Ordinance 184510 & Addition.

Comply With Department Order Issued On 02/24/2016. Permit To Expire 30 Days After The Issuance.",91342.0,1.0
Applications Submitted,542,Reviewed by Supervisor,7.0,,1.0,,13315 W PIERCE ST,1 or 2 Family Dwelling,Building,16010-20000-04471,Bldg-New,2016-09-30 00:00:00,1184.34,"(N) 29'-5"" X 34'-0"" Irregular Two Story Second Dwelling With Attached Two Car Carport Per Ordinance # 184510. Fire Sprinkler Nfpa13d. ""Comply With Department Order Effective Date 01/25/2016. Permit Will Expire 30 Days From Issuance Date - See Comments",91331.0,1.0
Applications Submitted,225,PC Info Complete,4.0,,1.0,,13321 W WEDDINGTON ST,1 or 2 Family Dwelling,Building,11010-20000-02392,Bldg-New,2011-11-22 00:00:00,504.0,"Build New 1-Story 2nd Dwelling Per Ab 1866, Za 120 (33'-6""X16'-6"") Parking Is Located In (E) 3-Car Garage",91316.0,1.0
Applications Submitted,94,Verifications in Progress,7.0,,0.0,,13323 W GARBER ST,1 or 2 Family Dwelling,Building,07016-20000-04815,Bldg-Alter/Repair,2007-03-15 00:00:00,600.0,"Convert Det. Garage To 2nd Dwlg Per Ab 1866 <New Construction>
<Permit Is Good For 30 Days Only Per Inspector'S Notice>",91331.0,1.0
Permits with CofO,454,CofO Issued,7.0,2013-01-03 15:44:00,1.0,2009-05-05 15:17:00,13324 W TERRA BELLA ST,1 or 2 Family Dwelling,Building,08010-20000-00306,Bldg-New,,637.0,New 2nd Dwelling Unit Per Ab 1866;  All Work Per Type V Sheet.(See Comments).,91331.0,1.0
Permits without CofO ,324,Issued,2.0,,1.0,2016-10-28 09:05:00,13329 W STRATHERN ST,1 or 2 Family Dwelling,Building,15010-20000-04300,Bldg-New,,1000.0,"New Irr. 25'-5"" X 27'-0"" Two-Story Second Dwelling Unit Per Ordinance 184510. Nfpa-13d Fire Sprinklers Throughout. All Work Per Engr.",91605.0,1.0
Applications Submitted,325,Reviewed by Supervisor,2.0,,1.0,,13330 W BESSEMER ST,1 or 2 Family Dwelling,Building,13014-20000-04912,Bldg-Addition,2013-11-25 00:00:00,648.0,"Convert (E) Detached 18'X36'2"" Garage Into A Second Dwelling Unit Per Za Memo#120 And Add 18'X16'3"" 2-Car Carport.",91401.0,1.0
Applications Submitted,48,Reviewed by Supervisor,7.0,,1.0,,13337 W ASTORIA ST,1 or 2 Family Dwelling,Building,05010-20000-06052,Bldg-New,2005-10-27 00:00:00,640.0,2nd Dwelling Unit Over 4-Car Garage  (Max. Floor Area: 640 S.F),91342.0,1.0
Applications Submitted,50,Reviewed by Supervisor,6.0,,1.0,,13343 W DEBELL ST,1 or 2 Family Dwelling,Building,05014-20000-10956,Bldg-Addition,2005-11-07 00:00:00,640.0,Add Second Dwelling Unit To (E) Sfd Per Ab 1866.,91331.0,1.0
Permits without CofO ,97,Issued,7.0,,1.0,2012-05-03 12:57:00,13344 W PINNEY ST,1 or 2 Family Dwelling,Building,11014-20000-01686,Bldg-Addition,,600.0,"Add A 8.5'X8.75' Laundry Room And Convert Existing Recroom To The Second Dwelling Per Zi -120. 
""Comply With Department Order Effective Date 03/30/2011. Permit Will Expire 30 Days From Issuance Date"".",91331.0,1.0
Permits with CofO,412,CofO Issued,7.0,2012-04-17 09:02:00,1.0,2010-06-14 15:07:00,13348 W CORCORAN ST,1 or 2 Family Dwelling,Building,10010-20000-00732,Bldg-New,,956.0,Proposed  Irr 33.17' X 40' (956 Sq Ft) Detached One Story 2nd Dwlg Unit Per Za Memo 120.,91340.0,1.0
Permits with CofO,650,CofO Issued,7.0,2015-05-21 13:00:00,1.0,2014-10-30 13:40:00,13349 W MERCER ST,1 or 2 Family Dwelling,Building,14014-20000-02152,Bldg-Addition,,559.0,"Convert (E) Det. Garage /Storage To (N) Second Dwelling And Expand With Addition And  Attached 2 Car Carport _Per Za 120. The Building Shall Be Sprinkler Through Out With Nfpa13d [All Work To Be Done Per La City Wood Frame Prescriptive Provisions And Standard Carport Detail].
",91331.0,1.0
Permits with CofO,92,CofO Issued,7.0,2006-11-22 11:32:00,1.0,2005-12-02 00:00:00,13354 W CORCORAN ST,1 or 2 Family Dwelling,Building,05010-20000-02405,Bldg-New,,600.0,Second Dwelling Unit 600 Sq.Ft.,91340.0,1.0
Permits with CofO,64,CofO Issued,7.0,2006-07-20 12:11:00,1.0,2005-08-08 00:00:00,13356 W GARBER ST,1 or 2 Family Dwelling,Building,05010-20000-03682,Bldg-New,,591.0,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living Room, And Kitchen.  All Work To Be Per Type V Sheet.  ",91331.0,1.0
Applications Submitted,90,Verifications in Progress,7.0,,0.0,,13359 W GARBER ST,1 or 2 Family Dwelling,Building,07010-20000-00192,Bldg-New,2007-01-18 00:00:00,630.0,Second Dwelling Unit/ Att Carport Per State Law Wxemption,91331.0,1.0
Permits without CofO ,173,Permit Expired,7.0,,1.0,2014-12-01 08:54:00,13359-13361 N GLADSTONE AVE,1 or 2 Family Dwelling,Building,14016-20000-21945,Bldg-Alter/Repair,,0.0,Convert (E) Accessory Living Quarter (1200 Sf) Into Second Dwelling Unit With Uncovered Parking.  Per Za Memorandum No. 120,91342.0,1.0
Permits with CofO,453,CofO Issued,7.0,2013-01-03 15:34:00,1.0,2012-06-25 13:27:00,13363 W HERRON ST,1 or 2 Family Dwelling,Building,12010-20000-01341,Bldg-New,,768.0,New 2nd Dwlg Per Za 120.,91342.0,1.0
Permits with CofO,224,CofO Issued,7.0,2008-10-07 14:46:00,,2004-12-22 00:00:00,13371 W BROWNELL ST,1 or 2 Family Dwelling,Building,04016-20000-24911,Bldg-Alter/Repair,,405.0,"Remove (E) Wall Between Garage And Recreation Room. & Convert 24' X 26' Garage To Recreation Room Extension, Add 1-10' X 18', 1-12'6"" X 18' Carport To Connect 2nd Unit To Duplex  All Work Per Type V Sheet.  ""Comply With Department Order Date Effective Date 04/16/2003.  Permit Will Expire 30 Days From Issuance Date.""",91340.0,1.0
Permits with CofO,392,CofO Issued,7.0,2012-01-23 11:23:00,0.0,2011-06-20 13:54:00,13371-13373 W BROWNELL ST,1 or 2 Family Dwelling,Building,11014-20000-01198,Bldg-Addition,,480.0,Add 2nd Floor Two Bedrooms & Bathroom(15' X 32') Over (E) Attached 2nd Dwelling Unit @ Rear(See Comments).,91340.0,1.0
Permits with CofO,956,Permit Finaled,7.0,,1.0,2004-09-14 00:00:00,13373 W BROWNELL ST,1 or 2 Family Dwelling,Building,04010-20000-04259,Bldg-New,,480.0,New Second Dwelling Unit Per Ab 1866.,91340.0,1.0
Permits with CofO,253,CofO Issued,7.0,2009-01-22 13:06:00,1.0,2008-03-24 16:38:00,13377 N WHEELER AVE,1 or 2 Family Dwelling,Building,08010-20000-00212,Bldg-New,,640.0,Proposed Second Dwelling Unit And Attached 2-Car Garage Per Assembly Bill 1866;  All Work Per Engineering Design,91342.0,1.0
Permits without CofO ,469,Issued,6.0,,1.0,2017-06-23 14:59:00,13404-13406 W BROMWICH ST,1 or 2 Family Dwelling,Building,17016-10000-16858,Bldg-Alter/Repair,,402.0,Convert Attached Garage To Adu Per Ab 2099,91331.0,1.0
Permits without CofO ,55,Issued,7.0,,1.0,2008-04-09 13:59:00,13409 W PINNEY ST,1 or 2 Family Dwelling,Building,07014-20000-06274,Bldg-Addition,,530.0,"Remove A 2'X 20' Portition Of The Existing 20'X 20' Two Car Garage And Convert The Remaining 18'X 20' Portition To A 2nd Dwelling Unit Per Ab1866.   Add A 18'X 12' (Bedroom, Bathroom & Closet) And 18'X 18' Two Car Carport Per The L.A. City Standard With A 5' Common Wall.  All Work Shall Comply With The Type ""V"" Sheet.  See Comments For More Information.  ""Comply With Department Order Effective Date 04/27/2007. Permit Will Expire 30 Days From Issuance Date"".




",91331.0,1.0
Permits with CofO,107,CofO in Progress,7.0,2007-02-13 11:06:00,1.0,2006-05-05 00:00:00,13410 W CORCORAN ST,1 or 2 Family Dwelling,Building,06010-20000-01712,Bldg-New,,640.0,Second Dwelling 640 S.F. Max.  Per Type V.,91340.0,1.0
Permits with CofO,371,CofO Issued,6.0,2011-08-30 10:00:00,1.0,2011-01-11 14:59:00,13420 W OSBORNE ST,1 or 2 Family Dwelling,Building,10010-20000-02183,Bldg-New,,1198.0,New 2nd Dwelling Unit Per Za Memo #120 With Open Onsite Parking,91331.0,1.0
Permits with CofO,533,CofO Issued,7.0,2014-01-30 14:46:00,1.0,2013-07-31 11:13:00,13423-13425 W EUSTACE ST,1 or 2 Family Dwelling,Building,13014-20000-02183,Bldg-Addition,,446.5,"To Add To An Existing Dwelling, And To Convert A Portion To An Attached Second Dwelling Of 446sf, Per Za Memo 120. To Convert Existing Garaghe To Habitable Space, And Attach A Carport.",91331.0,1.0
Permits with CofO,652,CofO Issued,7.0,2015-05-27 16:14:00,1.0,2014-12-16 13:47:00,13425-13427 N FUSANO AVE,1 or 2 Family Dwelling,Building,14014-20000-03065,Bldg-Addition,,450.5,"Construct (N) 21'-3"" X 22'-3"" 2nd Dwelling Unit (Per Za Memo #120) On Top Of (E) Att. 2-Car Garage, Add (N) 8'-6"" X 18'-0"" Attached 1-Car Carport & Stairs @ Front Of (E) 1-Story Sfd & Convert (E) Sfd To A (N) Duplex. [See Comments]",91342.0,1.0
Permits with CofO,861,CofO Issued,7.0,2017-03-22 08:24:00,1.0,2015-01-13 08:45:00,13430-13432 W EUSTACE ST,1 or 2 Family Dwelling,Building,14014-20000-04517,Bldg-Addition,,585.0,"Convert (E) Den (1985vn84976) To Bedroom, Add 13'8"" X 11' Bedroom At Rear And Irregular Shape 24'4"" X 24'10"" Attached New 2nd Unit At Rear Per Za-120 Memorandum.  See Comment.  -------- Comply With Department Order Effective Date 9/3/2014, Permit Will Expire 30 Days From Issuance Date.
",91331.0,1.0
Permits without CofO ,126,Issued,4.0,,1.0,2013-08-02 10:44:00,13439 W ADDISON ST,1 or 2 Family Dwelling,Building,12014-20000-04620,Bldg-Addition,,570.0,Add 570 S.F On Top Of (E) Attached Garage To Create 2nd Dwelling  Unit Per Za Memorendum#120.See Comments.,91423.0,1.0
Permits with CofO,441,CofO Issued,7.0,2012-10-30 14:25:00,1.0,2012-02-22 00:00:00,13446 W MERCER ST,1 or 2 Family Dwelling,Building,11010-20000-02555,Bldg-New,,989.0,"New Second Dwelling Unit (23'9""X44'8"" )  Per Za. 120 And Per The Wfpp Per La City Standard Plan. ",91331.0,1.0
Permits with CofO,205,CofO Issued,7.0,2008-07-23 14:18:00,1.0,2006-09-11 00:00:00,13456 W BROWNELL ST,1 or 2 Family Dwelling,Building,06010-30000-03713,Bldg-New,,561.0,New 1-Story Second Unit ( Ab 1866 ) Per City Standard Detail.   (Demolish Existing Det Garage Under Sep. Permit ).  Provide One Additional Surface Parking For The Second Unit.,91340.0,1.0
Permits with CofO,297,CofO Issued,2.0,2009-10-14 15:50:00,1.0,2009-06-26 14:26:00,13459 W ERWIN ST,1 or 2 Family Dwelling,Building,09014-20000-01191,Bldg-Addition,,0.0,"Convert Ex Detached 2-Car Garage To Dwelling Unit (19'10""X24') Per Ab-1866 & Construct New 2-Car Carport Attached To New Dwelling & To Ex House - New Duplex With Carport. See Comments.",91401.0,1.0
Permits with CofO,876,CofO Issued,7.0,2017-05-12 10:45:00,1.0,2015-12-31 11:16:00,13463 W CARL ST,1 or 2 Family Dwelling,Building,15010-20000-03384,Bldg-Addition,,504.0,"Addition To (E) Hobby Room And Change Of Use To 2nd Single Family Dwelling Per Za 120.  ""Comply With Department Order Effective Date
06/10/2015. Permit Will Expire 30 Days From Issuance Date"".",91331.0,1.0
Permits with CofO,323,CofO Issued,7.0,2010-05-10 10:29:00,1.0,2008-07-10 11:15:00,13484 W BROWNELL ST,1 or 2 Family Dwelling,Building,07010-20000-04760,Bldg-New,,636.0,New 2nd Dwlg W/Att. 3-Car Gar.  - Per Ab 1866,91340.0,1.0
Permits with CofO,152,CofO Issued,15.0,2007-11-29 11:32:00,1.0,2006-08-14 00:00:00,1349-1351 W 219TH ST,1 or 2 Family Dwelling,Building,06014-40000-03086,Bldg-Addition,,2113.0,New Two Story Ground Floor Addition At Rear To Create New 2nd Unit Duplex.  New Attached Two Car Garage With Two Open Parking Spaces. ,90501.0,1.0
Permits without CofO ,69,CofO in Progress,4.0,,1.0,2009-05-18 08:27:00,135 S ARDMORE AVE 2,1 or 2 Family Dwelling,Building,09010-10000-00020,Bldg-New,,1095.0,"New 1095 Sq Ft  2nd Dwelling Unit  Over Garage ,  2 Story (Single Family Zone Pursuant To Ab 1866)",90004.0,1.0
Permits without CofO ,19,Issued,2.0,,1.0,2005-08-02 00:00:00,13503 W ERWIN ST,1 or 2 Family Dwelling,Building,04016-20000-23928,Bldg-Alter/Repair,,682.0,"Convert (E) 21'-3""X32'-6""Attached Garage To Second Dwelling Unit (See Za-2005-2547-Zv).  New Carport Under # 04010-20000-05667",91401.0,1.0
Permits with CofO,302,CofO Issued,7.0,2009-11-09 16:02:00,1.0,2009-02-19 15:23:00,13509 W JUDD ST,1 or 2 Family Dwelling,Building,08014-20000-05674,Bldg-Addition,,320.0,"Demo 8' X 20 Of Recroom, Add New 16' X 20' In The Rear And Convert To New 2nd Dwelling Per Ab1866. ""Comply With Department Order Effective Date
11/29/2008. Permit Will Expire 30 Days From Issuance Date"".",91331.0,1.0
