,Overall Status,CD,COFO ISSUE DATE,DWELLING UNIT CHANGED,ISSUE DATE,JOB ADDRESS,PC SUBMT DATE,PERMIT GROUP,PERMIT NUMBER,PERMIT SUB-TYPE,PERMIT TYPE,SQUARE FOOTAGE,STATUS DESCRIPTION,USE DESCRIPTION,WORK DESCRIPTION,ZIP CODE,ADDRESS COUNT,ISSUE YEAR,PC YEAR
213,Permits with CofO,6.0,,1.0,2004-10-26 00:00:00,10740-10740 1/2 W ARMINTA ST,,Building,04014-20000-06199,1 or 2 Family Dwelling,Bldg-Addition,712.0,CofO Corrected,Duplex,"Convert 18' X 29' Attached Garage To 2nd Dwelling Unit Per Ab 1866 To Create Duplex.Add Bed & Bathroom To (E) Dwelling(12'3"" X 21')  236 S.F.All Work To Be Per Type V Sheet.Pay Investigation Fee.",91352.0,1.0,2004.0,
214,Applications Submitted,2.0,,1.0,,10742 W HATTERAS ST,2015-02-09 00:00:00,Building,15014-10000-00514,1 or 2 Family Dwelling,Bldg-Addition,1818.0,Reviewed by Supervisor,Dwelling - Single Family,"Convert An Existing 490 S.F Garage Into A Second Dwelling Unit. Also, Addition Of 357 S.F. Of Covered Carport.",91601.0,1.0,,2015.0
215,Applications Submitted,5.0,,1.0,,10742 W WEYBURN AVE,2017-06-08 00:00:00,Building,17014-30000-02710,1 or 2 Family Dwelling,Bldg-Addition,,Corrections Issued,,Conversion Of Existing Rec. Room And Garage Into Accessory Dwelling Unit Per Ab 2299 And Sb 1069,90024.0,1.0,,2017.0
216,Permits with CofO,2.0,2016-02-11 08:51:00,1.0,2015-07-21 08:27:00,10750 W CALIFA ST,,Building,15010-20000-02002,1 or 2 Family Dwelling,Bldg-New,1023.0,CofO Issued,Dwelling - Single Family,1023 Sq Ft (40.25' X 40') Irregular Shaped Second Dwelling Unit With Open Pkg,91601.0,1.0,2015.0,
217,Applications Submitted,2.0,,1.0,,10758 W AQUA VISTA ST,2016-09-29 00:00:00,Building,16016-20000-23343,1 or 2 Family Dwelling,Bldg-Alter/Repair,1200.0,Reviewed by Supervisor,Dwelling - Single Family,"Convert (E) 2 Story Garage And Storage To 2nd Dwelling Per Ord No 184510. <Fully Sprinlkered Thru Out>
""Comply With Department Order Effective Date 04/21/2016. Permit Will Expire 30 Days From Issuance Date""",91602.0,1.0,,2016.0
218,Permits without CofO,2.0,,1.0,2017-07-13 12:53:00,10760 W AQUA VISTA ST,,Building,17016-20000-01336,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Accessory Dwelling Unit,"Convert (E) 2 Story Garage / Storage To Accessory Dwelling Unit Per Ab 2299
& Sb 1069 ""Comply With Department Order Effective Date
04/21/2016. Permit Will Expire 30 Days From Issuance Date""",91602.0,1.0,2017.0,
219,Permits with CofO,7.0,2014-12-17 15:01:00,1.0,2013-12-18 12:05:00,10762 N REDMONT AVE,,Building,12010-20000-03003,1 or 2 Family Dwelling,Bldg-New,1030.0,CofO Issued,Dwelling - Single Family,New 1050 S.F Detached Two Story Irr Shape (36.5'X18.5') Type V-B  2nd Dwelling Unit Per Za Memorendom#120.See Comments.,91042.0,1.0,2013.0,
220,Applications Submitted,5.0,,1.0,,10765 W WESTMINSTER AVE,2017-05-23 00:00:00,Building,17014-30000-02408,1 or 2 Family Dwelling,Bldg-Addition,399.0,Corrections Issued,Accessory Dwelling Unit,Conversion Of Existing Garage To Adu Per Ab 2299 And Sb 1069,90034.0,1.0,,2017.0
221,Permits without CofO,10.0,,1.0,2004-03-23 00:00:00,1078 S WEST BLVD,,Building,04016-20000-03530,1 or 2 Family Dwelling,Bldg-Alter/Repair,190.0,Permit Finaled,Duplex,Convert The 2nd Floor Of An (E) Sfd W/ Attached Garage To A 2nd Unit Creating A Duplex.  Convert (E) Garage To Bedroom (190 S.F.).  Interior Remodeling.  10' X 18' Carport Addition.,90019.0,1.0,2004.0,
222,Permits without CofO,7.0,,1.0,2017-07-11 10:27:00,10800-10808 N HADDON AVE,,Building,17016-20000-13452,1 or 2 Family Dwelling,Bldg-Addition,1693.0,Issued,Dwelling - Single Family,"Convert Portion Of (E) Single Family Dwelling To Accessory Dwelling Unit Per Ab 2299 & Sb 1069,  And Add 11' X 18' Bedroom & 6' X 8' Laundry Room; (E) Porch To Be Removed.
""Comply With Department Order Effective Date
06/15/2016. Permit Will Expire 30 Days From Issuance Date""",91331.0,1.0,2017.0,
223,Permits without CofO,2.0,,1.0,2017-03-28 11:21:00,10809 W CANTARA ST,,Building,17016-20000-05715,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Accessory Dwelling Unit,"Convert (E) 15'-6"" X 32'-0"" (Irr. Shape) Recreation Room, And (E) 32' X 2'-6"" & 5' X 4'  Storage Rooms To Accessory Dwelling Unit Per Ab 2299 And Sb 1069.
All Works Per Wfpp.",91352.0,1.0,2017.0,
224,Permits without CofO,5.0,,1.0,2017-06-05 13:15:00,10810 W WESTMINSTER AVE,,Building,17016-20000-12746,1 or 2 Family Dwelling,Bldg-Alter/Repair,364.0,Issued,Accessory Dwelling Unit,"Convert (E) 18'-2"" X 20'-1"" Det. Two-Car Garage To Accessory Dwelling Unit Per Ab 2299 & Sb 1069. All Works Per Wfpp.",90034.0,1.0,2017.0,
225,Applications Submitted,5.0,,1.0,,10812 W ASHBY AVE,2017-06-21 00:00:00,Building,17016-30000-16887,1 or 2 Family Dwelling,Bldg-Addition,992.0,Verifications in Progress,Accessory Dwelling Unit,Convert Existing 2-Story Accessory Building (Garage And Study Room) To Accessory Dwelling Unit Per Ab2299 And Sb1069. See Comments. ,90064.0,1.0,,2017.0
226,Permits with CofO,12.0,2017-08-02 15:52:00,1.0,2015-07-09 11:25:00,10815 N VARIEL AVE,,Building,15010-20000-01331,1 or 2 Family Dwelling,Bldg-New,862.0,CofO Issued,Dwelling - Single Family,"(N) Att 30'-0"" X 34'-6""  Second Dwelling Per Za Memo #120",91311.0,1.0,2015.0,
227,Permits with CofO,7.0,2009-05-01 15:32:00,1.0,2007-07-18 00:00:00,10824 N MEMORY PARK AVE,,Building,07010-20000-02788,1 or 2 Family Dwelling,Bldg-New,640.0,CofO Issued,Dwelling - Single Family,New 2nd Dwlg Per Ab 1866. All Work Per Type V Sheet.,91345.0,1.0,2007.0,
228,Applications Submitted,2.0,,,,10828 W ROSCOE BLVD,2017-06-13 00:00:00,Building,17016-10000-15994,1 or 2 Family Dwelling,Bldg-Alter/Repair,,Corrections Issued,Accessory Dwelling Unit,Convert (E) Garage To Accessory Dwelling Unit Per Ab 2299 And Sb 1069 And Add 398sf,91352.0,1.0,,2017.0
229,Permits without CofO,7.0,,1.0,2005-06-02 00:00:00,10829 N BURNET AVE,,Building,05010-20000-02417,1 or 2 Family Dwelling,Bldg-New,586.0,CofO in Progress,Dwelling - Single Family,"(N) Sfd W/ Attached 1-Car Garage Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Living Room, And Kitchen.  All Work To Be Per Type V Sheet.",91345.0,1.0,2005.0,
230,Permits without CofO,7.0,,1.0,2004-12-16 00:00:00,10831 N BURNET AVE,,Building,04014-20000-09979,1 or 2 Family Dwelling,Bldg-New,636.0,Issued,Dwelling - Single Family,"24' X 26' 6"" Second Dwelling With 20' X 26' 6"" Attached Garage. ",91345.0,1.0,2004.0,
231,Permits without CofO,7.0,,1.0,2017-04-07 14:15:00,10831-10833 N ORION AVE,,Building,17016-20000-08210,1 or 2 Family Dwelling,Bldg-Alter/Repair,374.0,Issued,Dwelling - Single Family,"Convert (E) 20'-4"" X 18'-6"" Attached Garage To (N) Accessory Dwelling Unit Per Ab 2299 And Sb 1069. All Work Per Wfpp. See Comments.",91345.0,1.0,2017.0,
232,Permits without CofO,7.0,,1.0,2017-02-27 10:43:00,10832 N ODELL AVE,,Building,16010-20000-00869,1 or 2 Family Dwelling,Bldg-New,499.0,Issued,Dwelling - Single Family,"(N) 2nd Dwelling Of 25'-3"" X 19'-9"" Per Ordinance 184510 And Create (N) Uncovered Car Parking And Cover Patio. All Work Per Engineering. Fire Sprinkler Nfpa-13d. See Comments.",91040.0,1.0,2017.0,
233,Permits with CofO,2.0,2015-09-15 16:19:00,1.0,2014-10-31 09:09:00,10835 W CROCKETT ST,,Building,14010-20000-02637,1 or 2 Family Dwelling,Bldg-New,1391.25,CofO Issued,Dwelling - Single Family,"New 30'-0"" X 40'-0"" Second Dwelling Unit Per Za 120. Fire Sprinkler Required; Nfpa 13d.",91352.0,1.0,2014.0,
234,Permits with CofO,6.0,2006-08-17 16:15:00,1.0,2006-03-08 00:00:00,10838 W ROSCOE BLVD,,Building,06010-20000-00293,1 or 2 Family Dwelling,Bldg-New,640.0,CofO Issued,Dwelling - Single Family,New 2nd Unit 636 S.F.  Sfd W/Att 1-Car  Garage Per Ab1866. (Per Type V).,91352.0,1.0,2006.0,
235,Permits with CofO,2.0,2014-06-10 13:50:00,1.0,2013-06-10 14:36:00,10839 W CROCKETT ST,,Building,13010-20000-01188,1 or 2 Family Dwelling,Bldg-New,1380.0,CofO Issued,Dwelling - Single Family,"New Detached Second Dwelling Unit Of 1131sf, Per Za-120. Fire Sprinklered Throughout.",91352.0,1.0,2013.0,
236,Permits without CofO,7.0,,1.0,2004-03-26 00:00:00,10841 N BURNET AVE,,Building,04010-20000-01128,1 or 2 Family Dwelling,Bldg-New,636.0,Permit Finaled,Dwelling - Single Family,"New 2nd Sfd Per Type V Sheet And Ab 1866. Includes Elect, Plumbing, And Hvac Permits. Eqso Required.",91345.0,1.0,2004.0,
237,Permits with CofO,6.0,2007-08-07 14:24:00,,2007-02-07 00:00:00,10843 1/2 W OLINDA ST,,Building,06014-20000-11000,1 or 2 Family Dwelling,Bldg-Addition,1945.0,CofO Issued,Dwelling - Single Family,"New 2nd Story Addition To (E) Sfd To Create 2nd Dwlg Unit Per Ab-1866...... 1st Floor: 9'X18'6"" Study Room And Bathroom Addition, 12'4""X16'6"" One Car Garage, 22'6""X34' Irr Patio Cover & ........  2nd Floor: New 627  Sf 2nd Dwelling Unit ( One Bed Room With One Bathroom) And 12'X28'6"" Rec Room. Convert (E) Bedroom Of The Main Sfd To Den.",91352.0,1.0,2007.0,
238,Permits without CofO,7.0,,1.0,2017-06-07 12:29:00,10846 N HILLHAVEN AVE,,Building,17016-20000-10203,1 or 2 Family Dwelling,Bldg-Alter/Repair,520.0,Issued,Accessory Dwelling Unit,"Convert Exist. 20'-3"" X 31'-2"" Detached Garage/Storage/Laundry To An Accessory Dwelling Unit Per Ab 2299 & Sb 1069. All Work Per Wfpp.",91042.0,1.0,2017.0,
239,Permits without CofO,7.0,,1.0,2017-05-02 09:36:00,10851 N NASSAU AVE,,Building,17014-20000-01048,1 or 2 Family Dwelling,Bldg-Addition,546.0,Issued,Accessory Dwelling Unit,"Add 13'-6"" X 18'-0"" Patio Cover And Convert (E) Garage/Rec. Room And Add Irregular 12'-10"" X 33'-11"" For New Accessory Dwelling Unit Per Ab 2299 And Sb 1069. All Work Per Engineering.",91040.0,1.0,2017.0,
240,Applications Submitted,7.0,,1.0,,10851 N PLAINVIEW AVE,2016-09-30 00:00:00,Building,16010-20000-04519,1 or 2 Family Dwelling,Bldg-New,875.0,Reviewed by Supervisor,Dwelling - Single Family,"(N) 2nd Dwelling Of 35'-0"" X 25'-0"" Per Ordinance 184510 And Creat (N) Uncovered Car Parking Per Wfpp. Fire Sprinkler Nfpa-13d. See Comments.",91042.0,1.0,,2016.0
241,Applications Submitted,7.0,,0.0,,10852 N ODELL AVE,2017-03-31 00:00:00,Building,17016-20000-07906,1 or 2 Family Dwelling,Bldg-Alter/Repair,,Corrections Issued,Accessory Dwelling Unit,Convert (E) 53' X 26' Garage/Storage Bldg. To An An Accessory Dwelling Unit Per Ab 2299 And Sb 1069 ,91040.0,1.0,,2017.0
242,Applications Submitted,7.0,,1.0,,10853 N NASSAU AVE,2016-09-28 00:00:00,Building,16010-20000-04407,1 or 2 Family Dwelling,Bldg-New,1048.0,Reviewed by Supervisor,Dwelling - Single Family,"New Irregular Shaped 31'0"" X 31'1"" Detached Second Dwelling Unit Per Ordinance 184510.  Fully Sprinklered Per Nfpa 13d.",91040.0,1.0,,2016.0
243,Applications Submitted,2.0,,,,10854 W SATICOY ST,2015-11-12 00:00:00,Building,15010-20000-04107,1 or 2 Family Dwelling,Bldg-New,,Plans on Hold,Dwelling - Single Family,"New Two Story Second Dwelling Unit Per Za Memo 120

** T.W. 12/11/15 - Plans Put On Hold Per Owner'S Request ***",91352.0,1.0,,2015.0
244,Permits without CofO,2.0,,1.0,2015-02-25 14:21:00,10857 W HATTERAS ST,,Building,14016-20000-10706,1 or 2 Family Dwelling,Bldg-Alter/Repair,,CofO in Progress,Duplex,"Separate 25' X 19.5' Irregular Shape Bed/Bathroom From Main Unit, Add To Existing Attached Garage And Convert To New 2nd Unit Per Memorandum Za-120,  Turning Sfd Into Duplex Building.  All Works Are Per Wfpp.  Comply With Department Order Effective Date 5/05/2014, Permit Will Expire 30 Days From Issuance Date.",91601.0,1.0,2015.0,
245,Permits without CofO,12.0,,1.0,2017-06-22 09:43:00,10876 N WHITE OAK AVE,,Building,17014-10000-02538,1 or 2 Family Dwelling,Bldg-Addition,584.0,Issued,Accessory Dwelling Unit,"Add To And Convert ( E ) Detached Garage To A New Accessory Dwelling Unit ( Adu ) , Per Ab 2299 And Sb 1069 .  Also , Comply With Wfpp  For One Story Dwelling .",91344.0,1.0,2017.0,
246,Permits with CofO,6.0,2012-07-30 16:00:00,1.0,2011-09-29 10:15:00,10879 W CANTARA ST,,Building,11014-20000-02762,1 or 2 Family Dwelling,Bldg-New,780.0,CofO Issued,Dwelling - Single Family,New 20'X39' Second Dwelling Unit Per Zi-120. (Two Bedroom And A Bath),91352.0,1.0,2011.0,
247,Permits without CofO,6.0,,1.0,2017-07-10 09:08:00,10885 W OLINDA ST,,Building,17010-20000-00220,1 or 2 Family Dwelling,Bldg-New,1131.0,Issued,Accessory Dwelling Unit,New Detached Accessory Dwelling Unit Per Ab 2299 & Sb1069,91352.0,1.0,2017.0,
248,Permits with CofO,6.0,2006-03-15 14:57:00,1.0,2005-05-25 00:00:00,10886 W VINEDALE ST,,Building,05010-20000-02158,1 or 2 Family Dwelling,Bldg-New,638.0,CofO Issued,Dwelling - Single Family,"(N) Sfd Per Ab 1866.  Sfd Consists Of 2 Bedrooms, Bathroom, Kitchen, And Living/Dining Room.  All Work To Be Per Type V Sheet.",91352.0,1.0,2005.0,
249,Applications Submitted,5.0,,1.0,,10888 W CHALON ROAD,2017-02-14 00:00:00,Building,17014-30000-00592,1 or 2 Family Dwelling,Bldg-Addition,,Reviewed by Supervisor,,"Addition To (E) S.F.D., Interior Remodel, Convert (E) Garage To An Accessory Dwelling Unit",90077.0,1.0,,2017.0
250,Applications Submitted,2.0,,1.0,,10901 W LULL ST,2017-06-23 00:00:00,Building,17010-10000-02416,1 or 2 Family Dwelling,Bldg-New,1090.0,Reviewed by Supervisor,Accessory Dwelling Unit,"New 1,090 Sq. Ft. Accessory Dwelling Unit Per Type V Prescriptive Design Per Ab 2299 And Sb 1069",91352.0,1.0,,2017.0
251,Applications Submitted,7.0,,1.0,,10902 N MEMORY PARK AVE,2013-12-04 00:00:00,Building,13010-20000-03700,1 or 2 Family Dwelling,Bldg-New,1200.0,Reviewed by Supervisor,Dwelling - Single Family,(N) 2nd Dwelling Unit Per Za Memorandum 120,91345.0,1.0,,2013.0
252,Permits with CofO,7.0,2016-03-31 15:46:00,1.0,2015-05-27 11:46:00,10915 N TAMARACK AVE,,Building,15010-20000-00950,1 or 2 Family Dwelling,Bldg-New,1091.0,CofO Issued,Dwelling - Single Family,"Build 41' X 34' Single Story, Type V, Nfpa13-D Fire Sprinkler Throughout, Detached 2nd Unit With Attached 1-Car Garage In Rear Yard Per Memorandum Za-120.  All Works Per Wfpp Details.  ",91331.0,1.0,2015.0,
253,Applications Submitted,7.0,,1.0,,10918 N LAUREL CANYON BLVD,2007-07-13 00:00:00,Building,07010-20000-02987,1 or 2 Family Dwelling,Bldg-New,640.0,PC Approved,Dwelling - Single Family,"New Detached 2nd Unit, 640 S.F. & 400 S.F. 2-Car Garage.",91340.0,1.0,,2007.0
254,Applications Submitted,12.0,,,,10920 N WHITE OAK AVE,2016-09-28 00:00:00,Building,16016-20000-23221,1 or 2 Family Dwelling,Bldg-Alter/Repair,,Reviewed by Supervisor,Dwelling - Single Family,"Convert (E) Recroom Room To (N) 2nd Dwelling Unit Per Ord. 184510.

""Comply With Department Order Effective Date
07/26/2016. Permit Will Expire 30 Days From Issuance Date"".",91344.0,1.0,,2016.0
255,Permits without CofO,7.0,,1.0,2017-04-25 11:14:00,10922-10924 N WHITEGATE AVE,,Building,17014-20000-01514,1 or 2 Family Dwelling,Bldg-Addition,74.0,Issued,Dwelling - Single Family,"Convert Irr. 38'-0"" X 27'-11"" Portion Of (E) Single Family Dwelling To An Accessory Dwelling Unit Per Ab 2299 & Sb 1069 And 9'-0"" X 8'-2"" Kitchen Addition To Accessory Dwelling Unit.",91040.0,1.0,2017.0,
256,Applications Submitted,12.0,,,,10924 N LOUISE AVE,2017-04-14 00:00:00,Building,17010-20000-01455,1 or 2 Family Dwelling,Bldg-New,551.0,Reviewed by Supervisor,Accessory Dwelling Unit,"New 35' X 15'9"" Accessory Dwelling Unit Per Ab 2299 & Sb 1069",91344.0,1.0,,2017.0
257,Permits with CofO,6.0,2013-01-31 07:37:00,,2011-03-24 15:30:00,10924 W OLINDA ST,,Building,10014-20000-04604,1 or 2 Family Dwelling,Bldg-Addition,956.0,CofO Issued,Dwelling - Single Family,"Addition To (E) 32'-9""X22' (704sf) Acc. Lvg. Qtrs. And Add 11'-6""X22' Living Room (195sf)/Porch  (57sf) Convert To 2nd Dwlg - Per Za 120 (Total Area = 956<1200max Allowed)",91352.0,1.0,2011.0,
258,Applications Submitted,7.0,,0.0,,10928 W WALNUT DR,2015-01-23 00:00:00,Building,15014-20000-00256,1 or 2 Family Dwelling,Bldg-Addition,798.0,Reviewed by Supervisor,Dwelling - Single Family,"Add Irregular Shape 52' X 16'8"" To (E) Detached Garage And Convert Entire Building To (N) Detached 2nd Unit Per Memorandum Za-120.  All Constructions Are Per Wfpp.

",91040.0,1.0,,2015.0
259,Applications Submitted,7.0,,1.0,,10929 N ODELL AVE,2013-03-26 00:00:00,Building,13014-20000-01096,1 or 2 Family Dwelling,Bldg-Addition,,Verifications in Progress,Dwelling - Single Family,"Add To & Convert Accessory Living Quarters To Second Dwelling Unit Prr Za Memo-120, Ab1866",91040.0,1.0,,2013.0
260,Applications Submitted,7.0,,,,10930 N ORO VISTA AVE,2017-02-13 00:00:00,Building,17016-20000-03299,1 or 2 Family Dwelling,Bldg-Alter/Repair,409.5,Verifications in Progress,Accessory Dwelling Unit,"Convert (E) 22'3"" X 20'6"" Detached Garage To Accessory Dwelling Unit As Per Ab 2299 And  Sb 1069 And Wfpp",91040.0,1.0,,2017.0
261,Permits without CofO,7.0,,1.0,2017-04-10 11:14:00,10930-10932 N FELLOWS AVE,,Building,17014-20001-00915,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Permit Finaled,Dwelling - Single Family,"Supplemental Permit To 17014-20000-00915 To Convert 23'4"" X 26'6"" (Irr. Shape) Portion Of (E) Dwelling To An Accessory Dwelling Unit Per Ab 2299 And Sb 1069. ",91331.0,1.0,2017.0,
262,Permits without CofO,7.0,,1.0,2017-03-07 14:26:00,10944 N EL DORADO AVE,,Building,16014-20002-03453,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Issued,Accessory Dwelling Unit,"Supplemental Permit To 16014-2000-03453 To Convert (E) 20'3""X 26'4"" (Irr. Shape) Recreation Room & Storage Room To Accessory Dwelling Unit Per Ab 2299 And Sb 1069 ",91331.0,1.0,2017.0,
263,Permits with CofO,2.0,2013-05-03 14:40:00,1.0,2012-05-09 13:10:00,10948 W MCBROOM ST,,Building,11010-20000-01520,1 or 2 Family Dwelling,Bldg-New,1200.0,CofO Issued,Dwelling - Single Family,"New 1200 S.F.  One Story Second Dwelling Unit  Per  Za-120

See Comments
",91040.0,1.0,2012.0,
264,Permits with CofO,6.0,2012-08-15 14:05:00,1.0,2007-08-31 08:29:00,10952 W ROSCOE BLVD,,Building,07014-20000-05364,1 or 2 Family Dwelling,Bldg-Addition,640.0,CofO Issued,Dwelling - Single Family,Add Irr One Story 23.5' X 38' 2nd Unit Per Ab 1866 To Exist Detached Two Car Garage.  Max 640 Sq Ft For 2nd Unit.,91352.0,1.0,2007.0,
265,Permits with CofO,6.0,2014-11-20 13:15:00,1.0,2014-05-12 10:11:00,10953 W PENROSE ST,,Building,13010-20000-03529,1 or 2 Family Dwelling,Bldg-New,498.0,CofO Issued,Dwelling - Single Family,"New 26' X 19'2"" Single Story Second Dwelling Unit Per Za Memorandum 120. The Building Shall Be Equipped With An Automatic Residential Fire Sprinkller System In Accordance With Nfpa13d Or R313.3.",91352.0,1.0,2014.0,
266,Applications Submitted,12.0,,,,10956 N BALBOA BLVD,2017-04-18 00:00:00,Building,17010-20000-01493,1 or 2 Family Dwelling,Bldg-New,,Reviewed by Supervisor,Accessory Dwelling Unit,New 48' X 25' Accessory Dwelling Unit Per Ab2299 And Sb1069,91344.0,1.0,,2017.0
267,Applications Submitted,7.0,,1.0,,10964 N BORDEN AVE,2017-03-22 00:00:00,Building,17016-20000-06840,1 or 2 Family Dwelling,Bldg-Alter/Repair,467.0,Verifications in Progress,Accessory Dwelling Unit,"Convert The (E) 30' X 15'-9"" Storage To A (N) Accessory Dwelling Unit Per Ab 2297 And Sb 1069

""Comply With Department Order Effective Date 06/10/2012. Permit Will Expire 30 Days From Issuance Date""",91331.0,1.0,,2017.0
268,Permits with CofO,7.0,2010-07-21 07:34:00,1.0,2009-07-21 14:24:00,10970 N BURNET AVE,,Building,09010-20000-01000,1 or 2 Family Dwelling,Bldg-New,637.5,CofO Issued,Dwelling - Single Family,"Proposed New Second Dwelling Unit Per Ab1866 (25'X25'6"") - 2 Bedrms Total. All Work Per Type V-Sheet. See Comments. Tv = $68,000 (1 Of 2)",91345.0,1.0,2009.0,
269,Permits with CofO,7.0,2013-01-16 14:31:00,0.0,2011-09-12 14:37:00,10974 N MEMORY PARK AVE,,Building,11014-20000-03281,1 or 2 Family Dwelling,Bldg-Addition,1120.0,CofO Issued,Dwelling - Single Family,Convert 480 S.F Garage Attached To (E) 2nd Unit Permited Under 06010-70000-01784 To New Bedroom And Bathroom Per Za 120. All Work Per Wfpp.,91345.0,1.0,2011.0,
270,Permits with CofO,10.0,2009-04-17 10:37:00,1.0,2008-01-28 15:16:00,1100 S WINDSOR BLVD,,Building,07016-10000-17317,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,CofO Issued,Duplex,"Convert Existing Den & Bedroom Into A New Unit By Adding Kitchen And Bath, To Change From Sfd Into A Duplex Per Ab1866.",90019.0,1.0,2008.0,
271,Applications Submitted,12.0,,0.0,,11001 N WINNETKA AVE,2013-07-31 00:00:00,Building,13016-20000-15389,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Reviewed by Supervisor,Dwelling - Single Family,Convert Accessory Living Quarters To A Second Dwelling Unit Per Za Memo#120,91311.0,1.0,,2013.0
272,Applications Submitted,7.0,,1.0,,11002 N WOODWARD AVE,2017-05-03 00:00:00,Building,17016-20000-11510,1 or 2 Family Dwelling,Bldg-Alter/Repair,400.0,Reviewed by Supervisor,Accessory Dwelling Unit,Convert Garage To Accessory Dwelling Unit Per Ab 2299 & Sb 1069 - ***Applicant Wishes To Submit Plan***,91040.0,1.0,,2017.0
273,Applications Submitted,12.0,,0.0,,11011 N WHITE OAK AVE,2016-09-22 00:00:00,Building,16010-20000-04269,1 or 2 Family Dwelling,Bldg-New,883.25,Reviewed by Supervisor,Dwelling - Single Family,New 2nd Dwellinlg Unit Per Ord. 184510. Building To Be Equipped With Fire Sprinkler System In Accordance With Nfpa 13d. ,91344.0,1.0,,2016.0
274,Applications Submitted,7.0,,1.0,,11016 W ART ST,2017-06-20 00:00:00,Building,17016-20000-16704,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,Corrections Issued,Carport,Convert (25'X29') Portion Of (E) Detached Accessory Building To Accessory Dwelling Unit Per Ab 2299 And Sb 1069 - See Comments,91352.0,1.0,,2017.0
275,Permits with CofO,7.0,2006-10-02 09:51:00,1.0,2006-04-19 00:00:00,11018 N BURNET AVE,,Building,06010-20000-01431,1 or 2 Family Dwelling,Bldg-New,640.0,CofO Issued,Dwelling - Single Family,"New 18'10""X 34' 2nd Dwelling Per Assembly Bill 1866.",91345.0,1.0,2006.0,
276,Permits without CofO,12.0,,1.0,2017-04-03 14:29:00,11029 N WOODLEY AVE,,Building,17016-20000-08023,1 or 2 Family Dwelling,Bldg-Alter/Repair,365.0,Issued,Accessory Dwelling Unit,Convert Exist. Detached 2-Car Garage Into Accessory Dwelling Unit Per Ab 2299 & Sb 1069. All Work Per Wfpp.,91344.0,1.0,2017.0,
277,Permits without CofO,12.0,,1.0,2017-03-30 16:18:00,11031 N ODESSA AVE,,Building,17016-20000-01244,1 or 2 Family Dwelling,Bldg-Alter/Repair,400.0,Issued,Accessory Dwelling Unit,"Convert 20' X 20' Garage To Accessory Dwelling Unit Per Ab 2299 & Sb 1069 ""Comply With Department Order Effective Date
11/14/2016. Permit Will Expire 30 Days From Issuance Date"".",91344.0,1.0,2017.0,
278,Applications Submitted,2.0,,1.0,,11031 W HATTERAS ST,2017-06-13 00:00:00,Building,17014-20000-02808,1 or 2 Family Dwelling,Bldg-Addition,890.0,Verifications in Progress,Accessory Dwelling Unit,Addition(542 Sf) And Convert Detached Garage(370 Sf) To Adu Per Ab 2299 And Sb 1069. All Work Per Wfpp.,91601.0,1.0,,2017.0
279,Applications Submitted,7.0,,1.0,,11035 N DE HAVEN AVE,2017-01-04 00:00:00,Building,17016-20000-00119,1 or 2 Family Dwelling,Bldg-Alter/Repair,528.0,Reviewed by Supervisor,Accessory Dwelling Unit,Convert (E) Recroom To Accessory Dwelling Unit Per Ab2299 & Sb1069,91331.0,1.0,,2017.0
280,Applications Submitted,14.0,,1.0,,1104-1104 1/2 S DACOTAH ST,2017-05-24 00:00:00,Building,17016-70000-13835,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,PC Info Complete,Duplex,Convert Lower Level Of 2-Story Single Family Dwelling Into Accessory Dwelling Unit Per Ab 2299 And Sb 1069.,90023.0,1.0,,2017.0
281,Permits without CofO,2.0,,1.0,2017-06-13 10:05:00,11040 W LEADWELL ST,,Building,17016-20000-04644,1 or 2 Family Dwelling,Bldg-Alter/Repair,367.0,Issued,Accessory Dwelling Unit,"Convert (E) 18'4"" X 20'0"" Detached Garage To Accessory Dwelling Unit Per Ab 2299 And Sb 1069. 
""Comply With Department Order Effective Date 12/30/2016. Permit Will Expire 30 Days From Issuance Date""",91352.0,1.0,2017.0,
282,Permits with CofO,6.0,,1.0,2007-01-30 00:00:00,11043-11045 W STAGG ST,,Building,06016-20000-01479,1 or 2 Family Dwelling,Bldg-Alter/Repair,0.0,CofO Corrected,Duplex,Convert (E) 13'X19' Garage To Two Bedrooms And Convert Sfd To Duplex W/ A Second Unit With  631 S.F. Per State Law Exception,91352.0,1.0,2007.0,
283,Permits without CofO,7.0,,1.0,2017-06-02 11:13:00,11044 N DE GARMO AVE,,Building,17014-20000-02543,1 or 2 Family Dwelling,Bldg-Addition,570.0,Issued,Accessory Dwelling Unit,"Add 19'0"" X 10'0"" To (E) Det. Garage And Convert (E) 20' X 19' Det. Garage Into An Accessory Dwelling Unit Per Ab 2299 And Sb 1069. All Work Per Wfpp. ",91331.0,1.0,2017.0,
